Batch,NH,N,d,Kernel,Mean_ms,Std_ms,DRAM_MB,DRAM_BW_GBs,Speedup,MaxAbsErr,Pass
1,8,512,64,K0: Naive Attention ,3.9475,0.0504,37.7,9.56,1.0000,0.00e+00,ref
1,8,512,64,K1: Basic FlashAttn ,1.6947,0.0319,4.2,2.47,2.3293,8.20e-08,YES
1,8,512,64,K2: +Reg+float4     ,1.6612,0.0668,4.2,2.52,2.3763,8.20e-08,YES
1,8,512,64,K3: +NoBkConf+CoopLd,1.7314,0.0687,4.2,2.42,2.2800,8.20e-08,YES
1,8,512,64,K4: +WarpDSplit     ,1.7672,0.0031,4.2,2.37,2.2338,8.20e-08,YES
1,8,512,64,K5: +2PhaseExpILP   ,1.1241,0.0097,4.2,3.73,3.5118,6.33e-08,YES
1,8,512,64,K6: +GemmStyle      ,0.6308,0.0067,4.2,6.65,6.2584,6.33e-08,YES
1,8,1024,64,K0: Naive Attention ,14.0163,0.0441,142.6,10.17,1.0000,0.00e+00,ref
1,8,1024,64,K1: Basic FlashAttn ,5.5412,0.0167,8.4,1.51,2.5295,9.13e-08,YES
1,8,1024,64,K2: +Reg+float4     ,5.3109,0.0031,8.4,1.58,2.6392,9.13e-08,YES
1,8,1024,64,K3: +NoBkConf+CoopLd,5.5477,0.0117,8.4,1.51,2.5265,9.31e-08,YES
1,8,1024,64,K4: +WarpDSplit     ,5.8064,0.0014,8.4,1.44,2.4139,9.31e-08,YES
1,8,1024,64,K5: +2PhaseExpILP   ,3.7283,0.0052,8.4,2.25,3.7594,7.08e-08,YES
1,8,1024,64,K6: +GemmStyle      ,2.0773,0.0015,8.4,4.04,6.7474,7.45e-08,YES
1,8,2048,64,K0: Naive Attention ,55.8130,0.0294,553.6,9.92,1.0000,0.00e+00,ref
1,8,2048,64,K1: Basic FlashAttn ,21.8636,0.0981,16.8,0.77,2.5528,1.15e-07,YES
1,8,2048,64,K2: +Reg+float4     ,20.9783,0.0682,16.8,0.80,2.6605,1.15e-07,YES
1,8,2048,64,K3: +NoBkConf+CoopLd,21.8508,0.1082,16.8,0.77,2.5543,1.08e-07,YES
1,8,2048,64,K4: +WarpDSplit     ,22.8581,0.1039,16.8,0.73,2.4417,1.08e-07,YES
1,8,2048,64,K5: +2PhaseExpILP   ,14.7396,0.0678,16.8,1.14,3.7866,6.52e-08,YES
1,8,2048,64,K6: +GemmStyle      ,8.0813,0.0279,16.8,2.08,6.9064,6.33e-08,YES
1,8,4096,64,K0: Naive Attention ,221.5304,0.0889,2181.0,9.85,1.0000,0.00e+00,ref
1,8,4096,64,K1: Basic FlashAttn ,83.0733,0.0562,33.6,0.40,2.6667,1.12e-07,YES
1,8,4096,64,K2: +Reg+float4     ,79.9369,0.3216,33.6,0.42,2.7713,1.12e-07,YES
1,8,4096,64,K3: +NoBkConf+CoopLd,83.6427,0.1108,33.6,0.40,2.6485,1.10e-07,YES
1,8,4096,64,K4: +WarpDSplit     ,87.9711,0.0094,33.6,0.38,2.5182,1.10e-07,YES
1,8,4096,64,K5: +2PhaseExpILP   ,56.4380,0.0491,33.6,0.59,3.9252,6.71e-08,YES
1,8,4096,64,K6: +GemmStyle      ,30.6590,0.0125,33.6,1.09,7.2256,6.71e-08,YES
